shift,allocated1,allocated2,allocated3,allocated4,allocated,abandoned1,abandoned2,abandoned3,abandoned4,abandoned,Arrival time1,Arrival time2,Arrival time3,Arrival time4,Arrival time,sharing1,sharing2,sharing,SW1, SW2, SW3,SW4,SWP,SWpenalty, SW,SW1 %,SW2 %, SW3 %,SW4 %,SWP %,Working,Waiting,Moving,Patroling,Working%,Waiting%,Moving%,Patroling%,Reallocation%,completed1,completed2,completed3,completed4,completed,working1, working2, working3, working4, working,sharing1_1,sharing1_2,sharing1_3,sharing2_1,sharing2_2,SW1_average,SW2_average,SW3_average,SW4_average
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,9.650807318062498,6.013260535200611,22.199478953506787,16.328891976208435,11.456664423170535,1.0,1.0,1.0,5952.4859516743445,3879.4882307338553,992.5685725521632,1944.485578680025,3695.5819301757765,0.0,16464.610263816157,0.3615321502480971,0.2356258768699618,0.06028497223122889,0.11810091751478442,0.2244560831359282,29681.275834331755,0.0,8861.308748323569,34675.75040277577,0.4053803714634825,0.0,0.12102581614409536,0.4735938123924221,0.0,0.6,1.0,1.0,0.6666666666666666,0.75,0.8077608063308941,0.9520060634090344,0.6430922038735956,0.8530622603370441,0.8476130370852744,0.27453564304841144,0.25259828306213467,0.47286607388945384,0.29322351662839874,0.7067764833716014,1600.6271797169632,1293.1627435779512,992.5685725521632,677.9342502327047
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,5.19315450963493,10.952229643978281,20.421632397067015,3.455973787335779,11.255123560611084,1.0,0.8,0.875,4067.190673647108,5561.0512590271765,2361.0627046434975,776.7099719320747,4872.101313416635,0.0,17638.11592266651,0.23059099347569287,0.3152860137335157,0.13386138944745946,0.0440358808921272,0.27622572245120364,22000.389972169796,0.0,6577.008602706599,44229.6866059571,0.3021737502267349,0.0,0.09033473303279554,0.6074915167404694,0.0,1.0,0.8,0.6666666666666666,1.0,0.8333333333333334,0.9345252416846348,0.8670027552163553,0.8163273349780302,0.9671660081325323,0.887140742400792,0.386040349655192,0.301035433625151,0.31292421671965703,0.14861831349149618,0.8513816865085038,1355.7302245490362,1390.2628147567941,1033.3549487805144,776.7099719320747
0,0.8,1.0,NaN,1.0,0.275,0.0,0.0,NaN,1.0,0.09090909090909091,7.399197488012948,8.016955472978786,NaN,15.332250514551742,8.45734302767966,1.0,1.0,1.0,7694.523325263374,7444.22608395127,0.0,239.67904644199933,4286.472592767428,-47.284654658985396,19664.901048424075,0.3912820769510053,0.37855395588414836,0.0,0.012188164377323778,0.21797580278752238,23721.207764349314,0.0,7678.728936632602,40634.29527818372,0.3293046529767981,0.0,0.1065983314551547,0.5640970155680473,0.0,0.75,0.8333333333333334,NaN,0.0,0.7272727272727273,0.8829174952246736,0.9100149503185415,NaN,NaN,0.8998534046583408,0.15483604461244027,0.16255690994802727,0.6826070454395324,0.42234019382019283,0.5776598061798072,1996.0653590617867,1212.9325318426625,NaN,NaN
0,1.0,1.0,1.0,1.0,0.3,0.0,0.2,0.0,0.0,0.08333333333333333,9.514358814509322,21.054314238986954,16.90293113545731,19.762132538281957,15.792369078435051,1.0,1.0,1.0,6644.667862236228,5945.160934430381,192.94007347684595,675.6448584459305,2708.415191680994,-90.0,16166.82892027039,0.41100625824678394,0.36773822273681533,0.011934317758192682,0.041792046033145645,0.16752915522506165,36785.91897373911,0.0,10788.169360886452,24654.39894919184,0.5092993132915978,0.0,0.14936169600915222,0.3413389906992499,0.0030864197530864196,0.6,0.8,0.0,1.0,0.6666666666666666,0.674773990855759,0.8314285993057969,NaN,0.669320158118138,0.7524195659885753,0.1708196619097088,0.3644915753834032,0.464688762706888,0.2274721730965098,0.7725278269034903,1677.4158296379344,1374.0841739100824,NaN,675.6448584459305
0,1.0,1.0,1.0,NaN,0.3,0.0,0.16666666666666666,1.0,NaN,0.16666666666666666,14.378098022494267,15.212901337707736,9.005387816561779,NaN,14.347773829606629,1.0,0.8333333333333334,0.9090909090909091,9045.263423878569,5784.757898159194,1051.0833778401534,0.0,2626.390764050512,-150.0,18507.495463928408,0.4887351420135708,0.3125629780341613,0.05679230773762676,0.0,0.14190957221464223,31905.570878763363,0.0,14594.531586596524,25919.222713894625,0.44056708343787687,0.0,0.20152813562501024,0.3579047809371128,0.0030864197530864196,1.0,0.6666666666666666,1.0,NaN,0.8333333333333334,0.7251186847827069,0.7018392248406488,0.9216079102043975,NaN,0.7354558233480526,0.15601966534425188,0.11780913823165931,0.7261711964240888,0.2729852241394475,0.7270147758605525,1809.0526847757137,1212.200587611267,1111.0833778401534,NaN
0,NaN,1.0,1.0,1.0,0.3,NaN,0.1111111111111111,0.0,0.0,0.08333333333333333,NaN,11.877113438276147,3.4684104133025357,9.324708967399715,10.75098744104894,NaN,0.8888888888888888,0.8888888888888888,0.0,9600.977247928306,1164.941095646893,1477.509927547269,4118.439138925359,-90.0,16361.867410047837,0.0,0.5867898209486979,0.07119854148992197,0.09030203524567916,0.25170960231570033,25230.676961572375,0.0,6295.180354231421,40834.25334119702,0.34868212240816016,0.0,0.08699793708265098,0.5643199405091888,0.0010288065843621398,NaN,0.6666666666666666,1.0,1.0,0.75,NaN,0.8398846435016633,0.9532989814377218,0.9541845006242079,0.8778862048551241,NaN,NaN,NaN,0.23657199999863318,0.7634280000013668,NaN,1313.406084218373,1164.941095646893,738.7549637736346
0,1.0,1.0,1.0,1.0,0.3,0.25,0.0,0.0,0.0,0.08333333333333333,9.58872918334895,11.424343476478162,24.535870752844403,4.379771578058694,12.41067893329451,0.75,1.0,0.8888888888888888,6114.722458071199,6481.524793952653,1968.292252359512,770.6001104464622,3062.476456095057,-120.0,18397.61607092488,0.3323649343750982,0.35230242706259585,0.10698626630599986,0.04188586757521801,0.16646050468108833,36048.96518329652,0.0,8226.224078598723,28764.363972689745,0.4935540208949,0.0,0.11262697695012079,0.3938190021549793,0.0030864197530864196,0.5,0.6,1.0,1.0,0.6666666666666666,0.9361790936041859,0.9282481433220284,0.802640432638965,0.9013115340092456,0.8954618770577041,0.15039014614128132,0.05802981414709149,0.7915800397116273,0.1584564364955436,0.8415435635044565,2087.773996497617,1336.126947580631,984.1461261797558,770.6001104464622
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,8.974230102652475,11.81204825317493,19.289828471914188,11.299972386414174,11.403911243435589,1.0,1.0,1.0,7343.409335745578,5624.608495884038,1017.5676083819338,1403.6847024870362,3985.858481178942,0.0,19375.128623677512,0.3790121592675009,0.2903004467805414,0.05251926984053196,0.07244776175429636,0.20572036235713015,29859.586358846213,0.0,6888.275485137416,35872.72633061044,0.4111724665057509,0.0,0.09485292887709276,0.4939746046171563,0.0010288065843621398,1.0,0.8,1.0,0.5,0.8333333333333334,0.8710899518492395,0.9216097120964398,0.7585446252560718,0.9635021105431002,0.889284539158189,0.26240925190478637,0.19293352271343733,0.5446572253817762,0.06690631426691024,0.9330936857330897,1835.8523339363944,1400.3910340602347,1017.5676083819338,740.7059007509102
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,1.0,0.08333333333333333,11.973055002376686,21.034426547903905,2.341209722143202,5.182635225955892,12.822336322811779,0.8,0.75,0.7777777777777778,6696.367991979232,3698.5623986459145,2352.492782073434,611.8153352725387,3889.268304575567,-30.0,17248.506812546693,0.38822885161910037,0.21442797564108868,0.13638819914325645,0.03547062606181653,0.22548434753473756,29988.943147775455,0.0,7226.196973841743,35025.39432298595,0.4151262636459611,0.0,0.10002967211411029,0.48484406423992876,0.0030864197530864196,0.6,0.5,1.0,0.0,0.5833333333333334,0.9038979046096016,0.9279051167176522,0.9494215357232629,NaN,0.9237638598158051,0.24816029202206982,0.13848326379214085,0.6133564441857894,0.044155692461431625,0.9558443075385683,1730.7685856890078,1457.4384631153926,1176.246391036717,NaN
0,0.6666666666666666,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,5.5711824716258995,12.453292395824366,8.500381188910614,17.705256550635703,11.414528487449422,1.0,1.0,1.0,3276.5649626270624,10594.091110493397,1115.8905633901559,687.6304600363583,3589.0544015173537,0.0,19263.23149806429,0.1700942525119067,0.5499643770339347,0.05792852375274048,0.03569652683172376,0.1863163198696962,36594.366305003176,0.0,7235.268922619385,33930.364772377456,0.47060656256434114,0.0,0.09304615384026986,0.436347283595389,0.0,1.0,0.75,1.0,1.0,0.8333333333333334,0.9074120519791862,0.8027651812875426,0.8247357859765814,0.9520059521076369,0.8408156929767847,0.1904432813461429,0.33996672806959577,0.4695899905842613,0.03702193621982023,0.9629780637801798,1638.2824813135308,1423.9079248468668,1115.8905633901559,687.6304600363583
